🃏,277 / 286,,,,,⬆️,,,,,,,,,
💠,226 / 226,,,,,Show/hide card pull rates,,,,,,,,,
⭐,51 / 57,,,,,,Any A1,,,,,,,,
👑,0 / 3,,,,,,Mewtwo,,,Pikachu,,,Charizard,,
☑️,Card ID,Card,Carte,Pack,Rarity,Copies,1st – 3rd,4th card,5th card,1st – 3rd,4th card,5th card,1st – 3rd,4th card,5th card
TRUE,A1 001,Bulbasaur,Bulbizarre,Mewtwo,💠,17,2.000%,,,,,,,,
TRUE,A1 002,Ivysaur,Herbizarre,Mewtwo,💠💠,2,,2.571%,1.714%,,,,,,
TRUE,A1 003,Venusaur,Florizarre,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 004,Venusaur ex,Florizarre ex,Mewtwo,💠💠💠💠,2,,0.333%,1.333%,,,,,,
TRUE,A1 005,Caterpie,Chenipan,Pikachu,💠,10,,,,2.000%,,,,,
TRUE,A1 006,Metapod,Chrysacier,Pikachu,💠,6,,,,2.000%,,,,,
TRUE,A1 007,Butterfree,Papilusion,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 008,Weedle,Aspicot,Mewtwo,💠,3,2.000%,,,,,,,,
TRUE,A1 009,Kakuna,Coconfort,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 010,Beedrill,Dardargnan,Mewtwo,💠💠💠,2,,0.357%,1.429%,,,,,,
TRUE,A1 011,Oddish,Mystherbe,Charizard,💠,5,,,,,,,2.000%,,
TRUE,A1 012,Gloom,Ortide,Charizard,💠💠,5,,,,,,,,2.571%,1.714%
TRUE,A1 013,Vileplume,Rafflesia,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 014,Paras,Paras,Pikachu,💠,11,,,,2.000%,,,,,
TRUE,A1 015,Parasect,Parasect,Pikachu,💠💠,13,,,,,2.571%,1.714%,,,
TRUE,A1 016,Venonat,Mimitoss,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 017,Venomoth,Aéromite,Mewtwo,💠💠,5,,2.571%,1.714%,,,,,,
TRUE,A1 018,Bellsprout,Chétiflor,Charizard,💠,14,,,,,,,2.000%,,
TRUE,A1 019,Weepinbell,Boustiflor,Charizard,💠💠,3,,,,,,,,2.571%,1.714%
TRUE,A1 020,Victreebel,Empiflor,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 021,Exeggcute,Noeunoeuf,Charizard,💠,9,,,,,,,2.000%,,
TRUE,A1 022,Exeggutor,Noadkoko,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 023,Exeggutor ex,Noadkoko ex,Charizard,💠💠💠💠,3,,,,,,,,0.333%,1.333%
TRUE,A1 024,Tangela,Saquedeneu,Charizard,💠,6,,,,,,,2.000%,,
TRUE,A1 025,Scyther,Insécateur,Mewtwo,💠,14,2.000%,,,,,,,,
TRUE,A1 026,Pinsir,Scarabrute,Any A1,💠💠,23,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 027,Cottonee,Doudouvet,Any A1,💠,25,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 028,Whimsicott,Farfaduvet,Any A1,💠💠,15,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 029,Petilil,Chlorobule,Any A1,💠,21,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 030,Lilligant,Fragilady,Any A1,💠💠,14,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 031,Skiddo,Cabriolaine,Charizard,💠,4,,,,,,,2.000%,,
TRUE,A1 032,Gogoat,Chevroum,Charizard,💠,7,,,,,,,2.000%,,
TRUE,A1 033,Charmander,Salamèche,Charizard,💠,31,,,,,,,2.000%,,
TRUE,A1 034,Charmeleon,Reptincel,Charizard,💠💠,14,,,,,,,,2.571%,1.714%
TRUE,A1 035,Charizard,Dracaufeu,Charizard,💠💠💠,3,,,,,,,,0.357%,1.429%
TRUE,A1 036,Charizard ex,Dracaufeu ex,Charizard,💠💠💠💠,2,,,,,,,,0.333%,1.333%
TRUE,A1 037,Vulpix,Goupix,Charizard,💠,16,,,,,,,2.000%,,
TRUE,A1 038,Ninetales,Feunard,Charizard,💠💠,9,,,,,,,,2.571%,1.714%
TRUE,A1 039,Growlithe,Caninos,Pikachu,💠,12,,,,2.000%,,,,,
TRUE,A1 040,Arcanine,Arcanin,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 041,Arcanine ex,Arcanin ex,Pikachu,💠💠💠💠,2,,,,,0.333%,1.333%,,,
TRUE,A1 042,Ponyta,Ponyta,Any A1,💠,27,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 043,Rapidash,Galopa,Any A1,💠💠,14,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 044,Magmar,Magmar,Charizard,💠,16,,,,,,,2.000%,,
TRUE,A1 045,Flareon,Pyroli,Charizard,💠💠💠,3,,,,,,,,0.357%,1.429%
TRUE,A1 046,Moltres,Sulfura,Charizard,💠💠💠,2,,,,,,,,0.357%,1.429%
TRUE,A1 047,Moltres ex,Sulfura ex,Charizard,💠💠💠💠,3,,,,,,,,0.333%,1.333%
TRUE,A1 048,Heatmor,Aflamanoir,Any A1,💠,36,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 049,Salandit,Tritox,Mewtwo,💠,2,2.000%,,,,,,,,
TRUE,A1 050,Salazzle,Malamandre,Mewtwo,💠,6,2.000%,,,,,,,,
TRUE,A1 051,Sizzlipede,Grillepattes,Any A1,💠,26,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 052,Centiskorch,Scolocendre,Any A1,💠💠,16,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 053,Squirtle,Carapuce,Pikachu,💠,19,,,,2.000%,,,,,
TRUE,A1 054,Wartortle,Carabaffe,Pikachu,💠💠,11,,,,,2.571%,1.714%,,,
TRUE,A1 055,Blastoise,Tortank,Pikachu,💠💠💠,3,,,,,0.357%,1.429%,,,
TRUE,A1 056,Blastoise ex,Tortank ex,Pikachu,💠💠💠💠,3,,,,,0.333%,1.333%,,,
TRUE,A1 057,Psyduck,Psykokwak,Any A1,💠,21,2.000%,,,2.000%,,,2.000%,,
TRUE,A1 058,Golduck,Akwakwak,Any A1,💠💠,15,,2.571%,1.714%,,2.571%,1.714%,,2.571%,1.714%
TRUE,A1 059,Poliwag,Ptitard,Charizard,💠,6,,,,,,,2.000%,,
TRUE,A1 060,Poliwhirl,Têtarte,Charizard,💠💠,5,,,,,,,,2.571%,1.714%
TRUE,A1 061,Poliwrath,Tartard,Charizard,💠💠💠,3,,,,,,,,0.357%,1.429%
TRUE,A1 062,Tentacool,Tentacool,Mewtwo,💠,5,2.000%,,,,,,,,
TRUE,A1 063,Tentacruel,Tentacruel,Mewtwo,💠💠,3,,2.571%,1.714%,,,,,,
TRUE,A1 064,Seel,Otaria,Pikachu,💠,10,,,,2.000%,,,,,
TRUE,A1 065,Dewgong,Lamantine,Pikachu,💠💠,10,,,,,2.571%,1.714%,,,
TRUE,A1 066,Shellder,Kokiyas,Mewtwo,💠,6,2.000%,,,,,,,,
TRUE,A1 067,Cloyster,Crustabri,Mewtwo,💠💠,2,,2.571%,1.714%,,,,,,
TRUE,A1 068,Krabby,Krabby,Mewtwo,💠,3,2.000%,,,,,,,,
TRUE,A1 069,Kingler,Krabboss,Mewtwo,💠💠,5,,2.571%,1.714%,,,,,,
TRUE,A1 070,Horsea,Hypotrempe,Pikachu,💠,10,,,,2.000%,,,,,
TRUE,A1 071,Seadra,Hypocéan,Pikachu,💠💠,10,,,,,2.571%,1.714%,,,
TRUE,A1 072,Goldeen,Poissirène,Pikachu,💠,8,,,,2.000%,,,,,
