🃏,195 / 207,,,,,⬆️,,,,,,
💠,148 / 155,,,,,Show/hide card pull rates,,,,,,
⭐,47 / 50,,,,,,Any A2,,,,,
👑,0 / 2,,,,,,Dialga,,,Palkia,,
☑️,Card ID,Card,Carte,Pack,Rarity,Copies,1st – 3rd,4th card,5th card,1st – 3rd,4th card,5th card
TRUE,A2 001,Oddish,Mystherbe,Any A2,💠,7,2.174%,,,2.273%,,
TRUE,A2 002,Gloom,Ortide,Any A2,💠,13,2.174%,,,2.273%,,
TRUE,A2 003,Bellossom,Joliflor,Any A2,💠💠,5,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 004,Tangela,Saquedeneu,Dialga,💠,11,2.174%,,,,,
TRUE,A2 005,Tangrowth,Bouldeneu,Dialga,💠💠,7,,2.647%,1.765%,,,
TRUE,A2 006,Yanma,Yanma,Dialga,💠,3,2.174%,,,,,
TRUE,A2 007,Yanmega ex,Yanmega ex,Dialga,💠💠💠💠,2,,0.333%,1.333%,,,
TRUE,A2 008,Roselia,Rosélia,Any A2,💠,9,2.174%,,,2.273%,,
TRUE,A2 009,Roserade,Roserade,Any A2,💠💠,6,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 010,Turtwig,Tortipouss,Palkia,💠,4,,,,2.273%,,
TRUE,A2 011,Grotle,Boskara,Palkia,💠💠,5,,,,,2.500%,1.667%
FALSE,A2 012,Torterra,Torterra,Palkia,💠💠💠,0,,,,,0.357%,1.429%
TRUE,A2 013,Kricketot,Crikzik,Palkia,💠,4,,,,2.273%,,
TRUE,A2 014,Kricketune,Mélokrik,Palkia,💠,9,,,,2.273%,,
TRUE,A2 015,Burmy,Cheniti,Any A2,💠,8,2.174%,,,2.273%,,
TRUE,A2 016,Wormadam,Cheniselle,Any A2,💠,8,2.174%,,,2.273%,,
TRUE,A2 017,Combee,Apitrini,Dialga,💠,7,2.174%,,,,,
TRUE,A2 018,Vespiquen,Apireine,Dialga,💠💠,2,,2.647%,1.765%,,,
TRUE,A2 019,Carnivine,Vortente,Palkia,💠💠,3,,,,,2.500%,1.667%
TRUE,A2 020,Leafeon,Phyllali,Dialga,💠💠💠,4,,0.357%,1.429%,,,
TRUE,A2 021,Mow Rotom,Motisma Tonte ,Any A2,💠,12,2.174%,,,2.273%,,
TRUE,A2 022,Shaymin,Shaymin,Dialga,💠💠💠,5,,0.357%,1.429%,,,
TRUE,A2 023,Magmar,Magmar,Palkia,💠,4,,,,2.273%,,
FALSE,A2 024,Magmortar,Maganon,Palkia,💠💠💠,0,,,,,0.357%,1.429%
TRUE,A2 025,Slugma,Limagma,Any A2,💠,12,2.174%,,,2.273%,,
TRUE,A2 026,Magcargo,Volcaropod,Any A2,💠💠,6,,2.647%,1.765%,,2.500%,1.667%
TRUE,A2 027,Chimchar,Ouisticram,Palkia,💠,12,,,,2.273%,,
TRUE,A2 028,Monferno,Chimpenfeu,Palkia,💠💠,2,,,,,2.500%,1.667%
TRUE,A2 029,Infernape ex,Simiabraz ex,Palkia,💠💠💠💠,2,,,,,0.333%,1.333%
TRUE,A2 030,Heat Rotom,Motisma Chaleur ,Any A2,💠,7,2.174%,,,2.273%,,
TRUE,A2 031,Swinub,Marcacrin,Dialga,💠,4,2.174%,,,,,
TRUE,A2 032,Piloswine,Cochignon,Dialga,💠💠,2,,2.647%,1.765%,,,
