🃏,89 / 96,,,,,⬆️,,,
💠,73 / 75,,,,,Show/hide card pull rates,,,
⭐,15 / 20,,,,,,Any A1a,,
👑,1 / 1,,,,,,Arceus,,
☑️,Card ID,Card,Carte,Pack,Rarity,Copies,1st – 3rd,4th card,5th card
TRUE,A2a 001,Heracross,Scarhino,Arceus,💠💠,8,,3.462%,2.308%
TRUE,A2a 002,Burmy,Cheniti,Arceus,💠,10,3.226%,,
TRUE,A2a 003,Mothim,Papilord,Arceus,💠💠,5,,3.462%,2.308%
TRUE,A2a 004,Combee,Apitrini,Arceus,💠,12,3.226%,,
TRUE,A2a 005,Vespiquen,Apireine,Arceus,💠💠,5,,3.462%,2.308%
TRUE,A2a 006,Cherubi,Ceribou,Arceus,💠,7,3.226%,,
TRUE,A2a 007,Cherrim,Ceriflor,Arceus,💠💠,5,,3.462%,2.308%
TRUE,A2a 008,Cherrim,Ceriflor,Arceus,💠💠,6,,3.462%,2.308%
TRUE,A2a 009,Carnivine,Vortente,Arceus,💠💠💠,2,,0.385%,1.538%
TRUE,A2a 010,Leafeon ex,Phyllali ex,Arceus,💠💠💠💠,1,,0.333%,1.333%
TRUE,A2a 011,Houndour,Malosse,Arceus,💠,16,3.226%,,
TRUE,A2a 012,Houndoom,Démolosse,Arceus,💠💠,7,,3.462%,2.308%
TRUE,A2a 013,Heatran,Heatran,Arceus,💠💠💠,3,,0.385%,1.538%
TRUE,A2a 014,Marill,Marill,Arceus,💠,8,3.226%,,
TRUE,A2a 015,Azumarill,Azumarill,Arceus,💠,7,3.226%,,
TRUE,A2a 016,Barboach,Barloche,Arceus,💠,9,3.226%,,
TRUE,A2a 017,Whiscash,Barbicha,Arceus,💠💠,6,,3.462%,2.308%
TRUE,A2a 018,Snorunt,Stalgamin,Arceus,💠,3,3.226%,,
TRUE,A2a 019,Froslass,Momartik,Arceus,💠💠,5,,3.462%,2.308%
TRUE,A2a 020,Snover,Blizzi,Arceus,💠,9,3.226%,,
TRUE,A2a 021,Abomasnow,Blizzaroi,Arceus,💠💠💠,2,,0.385%,1.538%
TRUE,A2a 022,Glaceon ex,Givrali ex,Arceus,💠💠💠💠,3,,0.333%,1.333%
FALSE,A2a 023,Origin Forme Palkia,Palkia Forme Originelle,Arceus,💠💠💠,0,,0.385%,1.538%
TRUE,A2a 024,Phione,Phione,Arceus,💠💠,3,,3.462%,2.308%
TRUE,A2a 025,Pikachu,Pikachu,Arceus,💠,8,3.226%,,
TRUE,A2a 026,Raichu,Raichu,Arceus,💠💠💠,1,,0.385%,1.538%
TRUE,A2a 027,Electrike,Dynavolt,Arceus,💠,6,3.226%,,
TRUE,A2a 028,Manectric,Élecsprint,Arceus,💠💠,4,,3.462%,2.308%
TRUE,A2a 029,Clefairy,Mélofée,Arceus,💠,14,3.226%,,
TRUE,A2a 030,Clefable,Mélodelfe,Arceus,💠💠,5,,3.462%,2.308%
TRUE,A2a 031,Gastly,Fantominus,Arceus,💠,5,3.226%,,
TRUE,A2a 032,Haunter,Spectrum,Arceus,💠,19,3.226%,,
TRUE,A2a 033,Gengar,Ectoplasma,Arceus,💠💠,8,,3.462%,2.308%
TRUE,A2a 034,Unown,Zarbi,Arceus,💠💠,9,,3.462%,2.308%
TRUE,A2a 035,Rotom,Motisma,Arceus,💠💠💠,3,,0.385%,1.538%
TRUE,A2a 036,Sudowoodo,Simularbre,Arceus,💠💠,3,,3.462%,2.308%
TRUE,A2a 037,Phanpy,Phanpy,Arceus,💠,5,3.226%,,
TRUE,A2a 038,Donphan,Donphan,Arceus,💠💠,7,,3.462%,2.308%
TRUE,A2a 039,Larvitar,Embrylex,Arceus,💠,6,3.226%,,
TRUE,A2a 040,Pupitar,Ymphect,Arceus,💠💠,8,,3.462%,2.308%
TRUE,A2a 041,Tyranitar,Tyranocif,Arceus,💠💠💠,1,,0.385%,1.538%
TRUE,A2a 042,Nosepass,Tarinor,Arceus,💠,6,3.226%,,
TRUE,A2a 043,Meditite,Méditikka,Arceus,💠,7,3.226%,,
TRUE,A2a 044,Medicham,Charmina,Arceus,💠💠,6,,3.462%,2.308%
TRUE,A2a 045,Gible,Griknot,Arceus,💠,3,3.226%,,
TRUE,A2a 046,Gabite,Carmache,Arceus,💠,7,3.226%,,
TRUE,A2a 047,Garchomp ex,Carchacrok ex,Arceus,💠💠💠💠,1,,0.333%,1.333%
TRUE,A2a 048,Zubat,Nosferapti,Arceus,💠,6,3.226%,,
TRUE,A2a 049,Golbat,Nosferalto,Arceus,💠,5,3.226%,,
TRUE,A2a 050,Crobat,Nostenfer,Arceus,💠💠💠,3,,0.385%,1.538%
TRUE,A2a 051,Croagunk,Cradopaud,Arceus,💠,6,3.226%,,
TRUE,A2a 052,Toxicroak,Coatox,Arceus,💠💠,2,,3.462%,2.308%
TRUE,A2a 053,Magnemite,Magnéti,Arceus,💠,11,3.226%,,
TRUE,A2a 054,Magneton,Magnéton,Arceus,💠,8,3.226%,,
TRUE,A2a 055,Magnezone,Magnézone,Arceus,💠💠💠,3,,0.385%,1.538%
TRUE,A2a 056,Mawile,Mysdibule,Arceus,💠,10,3.226%,,
TRUE,A2a 057,Probopass ex,Tarinorme ex,Arceus,💠💠💠💠,1,,0.333%,1.333%
TRUE,A2a 058,Bronzor,Archéomire,Arceus,💠,12,3.226%,,
TRUE,A2a 059,Bronzong,Archéodong,Arceus,💠💠,6,,3.462%,2.308%
TRUE,A2a 060,Origin Forme Dialga,Dialga Forme Originelle,Arceus,💠💠💠,2,,0.385%,1.538%
TRUE,A2a 061,Giratina,Giratina,Arceus,💠💠💠,7,,0.385%,1.538%
TRUE,A2a 062,Eevee,Évoli,Arceus,💠,9,3.226%,,
TRUE,A2a 063,Snorlax,Ronflex,Arceus,💠💠,10,,3.462%,2.308%
TRUE,A2a 064,Hoothoot,Hoothoot,Arceus,💠,13,3.226%,,
TRUE,A2a 065,Noctowl,Noarfang,Arceus,💠💠,3,,3.462%,2.308%
TRUE,A2a 066,Starly,Étourmi,Arceus,💠,8,3.226%,,
TRUE,A2a 067,Staravia,Étourvol,Arceus,💠,12,3.226%,,
TRUE,A2a 068,Staraptor,Étouraptor,Arceus,💠💠,7,,3.462%,2.308%
TRUE,A2a 069,Shaymin,Shaymin,Arceus,💠💠💠,1,,0.385%,1.538%
TRUE,A2a 070,Arceus,Arceus,Arceus,💠💠💠,2,,0.385%,1.538%
TRUE,A2a 071,Arceus ex,Arceus ex,Arceus,💠💠💠💠,2,,0.333%,1.333%
TRUE,A2a 072,Irida,Nacchara ,Arceus,💠💠,7,,3.462%,2.308%
TRUE,A2a 073,Celestic Town Elder,Doyenne de Célestia,Arceus,💠💠,5,,3.462%,2.308%
FALSE,A2a 074,Barry,René ,Arceus,💠💠,0,,3.462%,2.308%
TRUE,A2a 075,Adaman,Adamantin ,Arceus,💠💠,1,,3.462%,2.308%
TRUE,A2a 076,Houndoom,Démolosse,Arceus,⭐,3,,0.429%,1.715%
TRUE,A2a 077,Marill,Marill,Arceus,⭐,1,,0.429%,1.715%
TRUE,A2a 078,Unown,Zarbi,Arceus,⭐,1,,0.429%,1.715%
FALSE,A2a 079,Sudowoodo,Simularbre,Arceus,⭐,0,,0.429%,1.715%
TRUE,A2a 080,Magnemite,Magnéti,Arceus,⭐,1,,0.429%,1.715%
TRUE,A2a 081,Shaymin,Shaymin,Arceus,⭐,1,,0.429%,1.715%
FALSE,A2a 082,Leafeon ex,Phyllali ex,Arceus,⭐⭐,0,,0.038%,0.154%
TRUE,A2a 083,Glaceon ex,Givrali ex,Arceus,⭐⭐,1,,0.038%,0.154%
TRUE,A2a 084,Garchomp ex,Carchacrok ex,Arceus,⭐⭐,1,,0.038%,0.154%
TRUE,A2a 085,Probopass ex,Tarinorme ex,Arceus,⭐⭐,1,,0.038%,0.154%
TRUE,A2a 086,Arceus ex,Arceus ex,Arceus,⭐⭐,1,,0.038%,0.154%
TRUE,A2a 087,Irida,Nacchara ,Arceus,⭐⭐,1,,0.038%,0.154%
FALSE,A2a 088,Celestic Town Elder,Doyenne de Célestia,Arceus,⭐⭐,0,,0.038%,0.154%
TRUE,A2a 089,Barry,René ,Arceus,⭐⭐,1,,0.038%,0.154%
TRUE,A2a 090,Adaman,Adamantin ,Arceus,⭐⭐,1,,0.038%,0.154%
TRUE,A2a 091,Leafeon ex,Phyllali ex,Arceus,⭐⭐,2,,0.038%,0.154%
TRUE,A2a 092,Glaceon ex,Givrali ex,Arceus,⭐⭐,1,,0.038%,0.154%
FALSE,A2a 093,Garchomp ex,Carchacrok ex,Arceus,⭐⭐,0,,0.038%,0.154%
TRUE,A2a 094,Probopass ex,Tarinorme ex,Arceus,⭐⭐,1,,0.038%,0.154%
FALSE,A2a 095,Arceus ex,Arceus ex,Arceus,⭐⭐⭐,0,,0.222%,0.888%
TRUE,A2a 096,Arceus ex,Arceus ex,Arceus,👑,1,,0.040%,0.160%
